Player name,player's actual position,predicted position
Tristan Thompson,C,C
Marcus Bagley,SF,PF
Jaylen Nowell,SG,SG
Tyler Smith,PF,SG
Adam Flagler,SG,PF
Jeenathan Williams,SG,PF
Bronny James,SG,SG
De'Anthony Melton,SG,SG
Tony Bradley,C,C
Markelle Fultz,PG,PG
Cole Swider,SF,PF
Bruno Fernando,C,SG
Dario Å ariÄ,C,PG
Markieff Morris,PF,PG
Tyson Etienne,PG,SG
Killian Hayes,PG,SG
Drew Peterson,PF,SG
Kobe Bufkin,SG,SG
Garrett Temple,SG,PG
Chuma Okeke,PF,PF
Patrick Baldwin Jr.,SF,PG
Oshae Brissett,SF,PF
Ariel Hukporti,C,C
Enrique Freeman,PF,PF
Kevin Knox,SF,PF
Keshad Johnson,SF,C
Daeqwon Plowden,SG,PG
Jaylen Sims,SG,SG
Pete Nance,PF,PF
Emoni Bates,SF,SG
Chris Duarte,SG,SG
Alex Ducas,SG,SG
Yuki Kawamura,PG,SG
Nae'Qwan Tomlin,PF,SG
Isaiah Jackson,C,C
TyTy Washington Jr.,PG,PF
Xavier Tillman Sr.,C,PG
Kylor Kelley,C,PF
JD Davison,PG,SG
PJ Hall,C,C
Trey Alexander,SG,SG
Elijah Harkless,SG,SG
Josh Richardson,SG,PG
Sidy Cissoko,SF,PF
Pacome Dadiet,SG,SG
RayJ Dennis,PG,SG
Chris Livingston,SF,PF
Josh Christopher,SG,SG
Marcus Garrett,SG,SG
Matt Ryan,SF,PG
Spencer Jones,SF,SG
Vlatko ÄanÄar,PF,SG
N'Faly Dante,C,C
Jazian Gortman,PG,SG
Jae Crowder,PF,PG
Mason Jones,SG,C
Jacob Toppin,SF,SG
Jackson Rowe,PF,PF
E.J. Liddell,PF,C
Leonard Miller,SF,C
Cam Christie,SG,PF
Justin Minaya,SF,PF
Jamaree Bouyea,PG,PF
David Duke Jr.,SG,SG
Malachi Flynn,PG,SG
Joe Ingles,SF,PG
Bobi Klintman,SF,C
Stanley Umude,SG,PG
Taylor Hendricks,PF,SG
Jack McVeigh,PF,PG
Tolu Smith,PF,C
Armel TraorÃ©,SF,PF
Isaiah Crawford,SF,PF
Bryce McGowens,SG,SG
Luke Travers,SG,SG
Trentyn Flowers,SF,SG
Jahmir Young,PG,PG
Emanuel Miller,PF,C
Jalen Bridges,SF,SG
Liam Robbins,C,PF
P.J. Tucker,SF,PG
James Johnson,PF,C
Adama Sanogo,C,PF
Anton Watson,SF,C
Phillip Wheeler,PF,PG
PJ Dozier,SG,C
Daniss Jenkins,PG,PF
Miles Norris,PF,PG
Kevin McCullar Jr.,SF,SG
Isaiah Mobley,PF,SG
Taze Moore,SG,PG
James Wiseman,C,C
Ulrich Chomche,PF,SG
Skal LabissiÃ¨re,PF,PG
Alondes Williams,SG,PG
Ron Harper Jr.,SF,PG
Harrison Ingram,SF,C
D.J. Carton,SG,PG
Cui Yongxi,SG,PF
Braxton Key,SF,PG
Tristen Newton,SG,PG
Quincy Olivari,PG,SG
Yuri Collins,PG,SG
Malevy Leons,SF,PG
Daishen Nix,PG,PF
Terence Davis,SG,PG
Jesse Edwards,C,SG
Mac McClung,SG,PG
Jalen McDaniels,SF,SG
Riley Minix,SF,PG
Jahlil Okafor,C,PG
Zyon Pullin,SG,PG
Isaiah Stevens,PG,PG
Terry Taylor,PF,PG
